"female_id","male_id","cycle_id","consort","Class","female_hybridscore","male_hybridscore","female_gendiv","male_gendiv","gen_distance","female_age","male_rank","female_rank","males_present","females_present","male_rank_transform","gen_distance_transform","rank_interact","assort_index","female_age_transform"
"ABB","LUI",5068,1,"0",0.307333333,0.465666667,0.7857,0.9286,0.0335,7.156741958,3,2,6,9,0.100575136,0.99887775,6,0.370114889,-0.238929493
"ABB","LOB",5087,0,"0",0.307333333,0.652333333,0.7857,0.9231,0.1101,7.534565366,4,2,6,9,0.055785003,0.98787799,8,0.240817111,-0.213274719
"ABB","LEB",5092,0,"0",0.307333333,0.476666667,0.7857,0.7857,0.1218,7.613963039,1,2,6,9,0.326916593,0.98516476,2,0.362495555,-0.208068715
"ABB","LUI",5095,1,"0",0.307333333,0.465666667,0.7857,0.9286,0.0335,7.68788501,4,2,7,9,0.066666305,0.99887775,8,0.370114889,-0.20327957
"ABB","IAG",5095,0,"0",0.307333333,0.213333333,0.7857,0.7143,-0.0581,7.68788501,6,2,7,9,0.024164863,0.99662439,12,0.544897778,-0.20327957
"ABB","IAG",5099,0,"0",0.307333333,0.213333333,0.7857,0.7143,-0.0581,7.778234086,6,2,7,9,0.024164863,0.99662439,12,0.544897778,-0.197501893
"ABB","IAG",5103,0,"1",0.307333333,0.213333333,0.7857,0.7143,-0.0581,7.863107461,5,2,6,9,0.030941709,0.99662439,10,0.544897778,-0.192150255
"ACA","LIB",5136,0,"0",0.077666667,0.044333333,0.7857,0.7857,0.1155,7.446954141,7,3,10,10,0.041940494,0.98665975,21,0.881443222,-0.219093929
"ACA","VAP",5136,0,"0",0.077666667,0.499,0.7857,0.9286,0.1504,7.446954141,2,3,10,10,0.154973138,0.97737984,6,0.462089,-0.219093929
"ACA","GYP",5144,0,"1",0.077666667,0.612,0.7857,1,-0.1466,7.693360712,4,3,9,10,0.086946757,0.97850844,12,0.357865333,-0.202927036
"ACA","LUI",5144,0,"1",0.077666667,0.465666667,0.7857,0.9286,-0.1449,7.693360712,3,3,9,10,0.122571673,0.97900399,9,0.492833444,-0.202927036
"ACA","VAP",5144,0,"1",0.077666667,0.499,0.7857,0.9286,0.1504,7.693360712,1,3,9,10,0.243592305,0.97737984,3,0.462089,-0.202927036
"ACA","ZIB",5148,1,"0",0.077666667,0.635,0.7857,0.7692,-0.0826,8.336755647,3,3,4,9,0.078601933,0.99317724,9,0.336651667,-0.16363437
"ACA","VAP",5148,0,"0",0.077666667,0.499,0.7857,0.9286,0.1504,8.336755647,2,3,4,9,0.166967018,0.97737984,6,0.462089,-0.16363437
"ACA","JAG",5156,0,"0",0.077666667,0.049666667,0.7857,0.9286,0.0717,9.303216975,7,3,7,9,0.014548671,0.99485911,21,0.87652411,-0.112549851
"ACA","ZIB",5156,0,"0",0.077666667,0.635,0.7857,0.7692,-0.0826,9.303216975,5,3,7,9,0.040137042,0.99317724,15,0.336651667,-0.112549851
"ACA","ZIB",5160,0,"0",0.077666667,0.635,0.7857,0.7692,-0.0826,9.631759069,4,3,4,10,0.0370029,0.99317724,12,0.336651667,-0.097354739
"ACA","IAG",5165,0,"1",0.077666667,0.213333333,0.7857,0.7143,-0.0858,9.754962355,5,3,6,10,0.030941709,0.99263836,15,0.725568889,-0.091940534
